Id	Description	Price	Prime	URL	Stars
1	HP 250 G9 Computer portatile 39,6 cm (15.6") 1366 x 768 Pixel Intel N4500 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi Windows 11 Professional	263,00€	False	https://www.amazon.it/HP-255-G8-portatile-DDR4-SDRAM/dp/B08T9V1FG9	4,4
2	HP, Pc Desktop Pronto All'Uso, Computer Pc Fisso Intel i7, Ram 16Gb, SSD 512Gb, Pacchetto Libre Office, Windows 10 Pro (Ricondizionato)	138,00€	True	https://www.amazon.it/HP-Desktop-Computer-Pacchetto-Ricondizionato/dp/B0BT1Q51TP	4,2
3	Samsung Galaxy Chromebook Go, Computer Portatile XE340XDA-KA1IT Chrome OS, Processore Intel Celeron, Display Screen 14” Full HD LED, RAM 4GB, Memoria eMMC 64GB, USB-C, Silver (Versione Italiana)	199,00€	False	https://www.amazon.it/Chromebook-Computer-Portatile-XE340XDA-KA1IT-Processore/dp/B09BN3MFH8	4,3
4	AOCWEI PC Portatile 14 Pollici Celeron N4020, Win 11 Notebook con 5G WiFi 6GB+256GB SSD Expansion 1TB, BT4.2 Supporto Mouse Wireless & Protezione Tastiera - Oro	229,49€	True	https://www.amazon.it/AOCWEI-Portatile-lespansione-Bluetooth-protezione/dp/B0BHYZV44D	4,6
5	Lenovo, Pc Portatile Notebook, Display FHD da 15,6", CPU Intel N4500, Ram 8Gb, SSD 256Gb, Computer Portatile con Libre, W11 e Mouse Wireless	265,00€	True	https://www.amazon.it/Lenovo-portatile-notebook-Display-computer/dp/B09Q3Q3YDV	4,4
6	SGIN 15.6 Pollici PC Portatile 12GB RAM 512GB SSD 11 Home System Notebook, Celeron N5095, Up to 2.0Ghz, FHD, 2.4/5.0G WiFi, Bluetooth 4.2, Supporta memoria espandibile TF	259,99€	True	https://www.amazon.it/SGIN-Portatile-Notebook-Bluetooth-espandibile/dp/B0DDC9RYYC	3,9
7	Wexultor PC Portatile 15,6 pollici, Notebook Celeron N4000 CPU, Windows 11 Laptop 8GB DDR4 RAM 256GB SSD, PC Portatile da ufficio Schermo IPS FHD 1920 * 1080, TF Card Slot, USB3.0+BT5.0+Mini-HDMI	219,99€	True	https://www.amazon.it/Wexultor-Portatile-pollici-Notebook-Mini-HDMI/dp/B0D8KPD767	3,8
8	HP, Pc desktop i7 pronto all'uso,16 Gb Ram, ssd 512Gb, Wi Fi, Libre Office, Windows 11 PRO, Computer fisso Pc i7 Pornto all'Uso	139,00€	False	https://www.amazon.it/desktop-pronto-Windows-Computer-Ricondizionato/dp/B08NWB5WQK	4,4
9	NOTODD PC Portatile Win 11 Laptop 6GB RAM 256GB ROM Estensioni SSD 1TB, Notebook 14 Pollici Celeron N4020 (fino a 2.8GHz) 5G WiFi 1080FHD Bluetooth 4.2 USB 3.0 Tastiera Membrana-Grigio	249,99€	True	https://www.amazon.it/NOTODD-Portatile-Estensioni-Bluetooth-Membrana-Grigio/dp/B0D93H1KMR	4,9
10	HP 250 G9, Notebook Pc Portatile, Display HD 15,6’’, CPU Intel Celeron N4500, 16 GB Ram DDR4, 512 GB SSD NVMe, Windows 11 Pro, Pronto All’Uso	309,00€	True	https://www.amazon.it/HP-G9-Notebook-Portatile-Display/dp/B0CQ5JQRTD	4,6
