terms,Id,tf_idf
portatile,5,1.1392517630610464
hp,15,1.4311083769096833
sottile,29,3.9160150266976834
256gb,40,2.267356401110302
portatile,57,0.5696258815305232
10x,63,5.5254529391317835
fi,63,2.6350811812356194
ram,66,0.8249725733393676
webcam,69,3.446011397451948
portatile,70,0.5696258815305232
3,77,2.0914657346466377
apple,82,3.446011397451948
pc,91,0.19273414586641485
pronto,101,2.434410485773468
windows,116,1.4479154952260644
1320watt,121,5.5254529391317835
impermeabili,130,4.832305758571839
impermeabile,132,2.6350811812356194
emmc,140,3.3282283617955644
numerico,141,5.5254529391317835
prelude,171,5.5254529391317835
caso,178,4.832305758571839
nero,188,1.6968115426426889
borsa,199,1.5001012483966345
hp,199,1.4311083769096833
viti,202,19.580075133488418
pc,204,0.19273414586641485
1tb,225,2.229616073127455
thinkcentre,234,4.832305758571839
display,241,1.7877833208484155
black,243,4.832305758571839
m,245,4.832305758571839
5558,247,5.5254529391317835
1080fhd,9,5.5254529391317835
11,13,1.276957697082425
11s,17,5.5254529391317835
1200,21,3.9160150266976834
rosa,22,4.426840650463674
anti,46,3.9160150266976834
1tb,50,2.229616073127455
dual,50,2.817402738029574
pronto,68,2.434410485773468
3520,83,5.5254529391317835
schermo,83,2.752864216892003
preconfigurato,86,5.5254529391317835
ssd,116,0.6579184886762015
lcd14,117,5.5254529391317835
ram,118,0.8249725733393676
uso,136,2.347399108783838
porta,149,1.8618912930021374
mini,168,1.9145350264875596
resistente,174,4.139158578011894
case,176,4.426840650463674
stand,180,3.733693469903729
sottomano,182,5.5254529391317835
m2,184,3.3282283617955644
microsoft,189,4.139158578011894
usb,210,4.007394591316075
silenziose,216,5.5254529391317835
2021,236,3.446011397451948
pollici,238,1.0595448204772002
cm,1,3.733693469903729
pollici,12,1.0595448204772002
lingua,22,5.5254529391317835
14,25,1.7412633052135227
256gb,47,2.267356401110302
display,56,1.7877833208484155
jumper,59,4.426840650463674
314,62,5.5254529391317835
retroilluminata,67,3.733693469903729
wi,73,2.6350811812356194
hp,75,1.4311083769096833
500gb,79,4.832305758571839
nvme,86,3.446011397451948
windows,91,1.4479154952260644
pendrive,96,5.5254529391317835
esterno,96,4.426840650463674
1360p,98,5.5254529391317835
gemini,99,4.832305758571839
8,107,2.5810139599653437
porta,126,1.8618912930021374
tasche,128,4.426840650463674
fino,135,1.8618912930021374
emmc,139,3.3282283617955644
notebook,142,1.0145934326149337
monitor,147,2.480930501408361
supporto,151,2.3899587232026342
silenziosa,170,5.5254529391317835
usb,205,1.3357981971053583
lungo,210,5.5254529391317835
ssd,214,0.6579184886762015
2024,226,4.139158578011894
custodia,232,2.229616073127455
libre,234,2.6922395950755678
16gb,235,1.6134299337036377
kvm,239,7.832030053395367
bt4.2,4,4.139158578011894
laptop,7,0.7805208107685337
notebook,24,1.0145934326149337
tf,28,3.2228678461377385
ram,36,0.8249725733393676
i5,37,1.811880872427476
gaming,38,2.5810139599653437
asus,46,3.0405462893437836
11,51,1.276957697082425
6e,89,4.832305758571839
am06,105,5.5254529391317835
gb,105,3.9178357018670313
computer,107,0.6201781606933544
3,127,2.0914657346466377
leeds,133,5.5254529391317835
pro,136,1.1434263044579023
