Id	Description	Price	Prime	URL	Number of stars
1	NOTODD PC Portatile Laptop Win11 12GB 512GB 1TB SSD Espansione, Notebook 16 Pollici Celeron N5095 (fino a 2.9Ghz) 丨Ventola di Raffreddamento丨5G WIFI丨1920 * 1200 2K Schermo Doppio- Viola	384.99	True	https://www.amazon.it/dp/B0D836GQL5	4.9
2	AOCWEI JSY Laptop Win 11 PC Portatile N5095 (fino to 2.9 GHz), 14 Pollici Notebook 8 GB 256 GB SSD 1TB Estensioni丨Dual WIFI Supporto丨Ventola Raffreddamento Schermo丨1920 * 1200 2K FHD-Blue	254.99	True	https://www.amazon.it/dp/B0CWMDQS39	4.8
3	"ACEMAGIC PC Portatile 16GB DDR4 RAM 512GB SSD,lntel N97【Battere N100/N95,Fino a 3.6Ghz】Gaming Notebook,15.6"" Full HD Computer portatile 2.4G/5G WiFi,BT5.0,Type_C, USB3.2,HDMI Argento"	359.69	True	https://www.amazon.it/dp/B0CB7FRFZB	4.1
4	"MSI Modern 14 C12M-073IT, Notebook 14"" Full-HD 60Hz, Intel I7-1255U, Intel Iris Xe, 16GB RAM DDR4, 512GB SSD M.2 PCIe 3, WiFi 6, Win 11 Home [Layout e Garanzia ITA]"	599.0	True	https://www.amazon.it/dp/B0B21RZ7RJ	4.1
5	"HP 250 G9 Computer portatile Display 15.6"" 1366 x 768 Pixel Intel N4500 8 GB DDR4-SDRAM 256GB SSD Wi-Fi OPEN OFFICE W11"	267.0	True	https://www.amazon.it/dp/B0CV14JFZ6	4.2
6	MeLE Quieter4C Mini PC senza ventola 12a Alder Lake N100 (fino a 3,4GHz) 16GB LPDDR4x 512GB Desktop Computer Personale Win 11 Pro 4K Triplo Display Doppio HDMI Tutto-in-Uno USB-C WiFi 5 BT5.1 Ethernet	309.99	True	https://www.amazon.it/dp/B0CP3DDJ7M	4.4
7	"HP 250 G9, Computer portatile con Libre Office, Display 15.6"" HD 1366 x 768, Intel N4500 8 GB 256 GB SSD Wi-Fi Windows 11 + Mouse e Borsa in Omaggio"	349.0	True	https://www.amazon.it/dp/B0DFMR92R3	4.1
8	Fujitsu Esprimo P757/E85+ Intel Quad Core i7 1TB SSD Hard Drive 32GB Memoria Windows 11 Pro DVD Masterizzatore Business Tower Computer PC (Ricondizionato)	250.0	False	https://www.amazon.it/dp/B0B5Z8FHWK	4.4
9	BONTEC Supporto per Monitor in Legno da Scrivania per Smartphone e Gestione dei Cavi, Ergonomico, per Laptop, Computer, W420 x D235 x H142mm (2 Livelli)	29.99	False	https://www.amazon.it/dp/B01M4S7ZGM	4.5
10	Lenovo Zaino per laptop	22.87	False	https://www.amazon.it/dp/B075Y72PHZ	4.6
11	Alimentatore 19V Caricatore 45W Caricabatterie 2.37A per ASUS Vivobook 14 15 Zenbook UX330 UX330U UX360 UX360C UX305 Q504U Q504UA Q302 Q302L Q302LA Q302U X541N Notebook PC Portatile	19.85	False	https://www.amazon.it/dp/B09CPV31ZG	4.4
12	BMAX Mini Pc 8 GB DDR4 128 GB eMMC Intel Gemini Lake N4000 (fino a 2,6 GHz) W-11 Pro Supporta HDMI 4K, B1Pro WiFi 2.4G/5G, Bluetooth 4.2, accensione automatica, mini computer HTPC	159.99	True	https://www.amazon.it/dp/B0CJM1SGN1	4.2
13	TECKNET PRO Mouse con Filo, 6400 DPI Mouse Ottico Cablato, 6 Pulsanti, Cavo USB 1.5M, Plug and Play, Mouse Ergonomico con Filo per PC, Computer, Laptop, Mac Laptop - Blu	14.99	False	https://www.amazon.it/dp/B0BMKBRBPD	4.5
14	"Acer Aspire 3 A315-24P-R8DK PC Portatile, Notebook, Processore AMD Ryzen 5 7520U, RAM 8 GB DDR5, 512 GB PCIe NVMe SSD, Display 15.6"" FHD LED, Scheda Grafica AMD Radeon, Windows 11 Home, Silver"	469.0	True	https://www.amazon.it/dp/B0BS6VX78Q	4.4
15	FINTIE Custodia Compatibile con Microsoft Surface Laptop Go 3 (2023) / Surface Go 2 (2022) / Surface Go (2020) 12,45 Pollici - Cover Rigid Protettivo Guscio Rigido Case, Trasparente	12.99	False	https://www.amazon.it/dp/B0BLHGDWV4	4.6
16	HP Elite Book 840 G3 - Computer portatile INTEL CORE I5-6200U 6a generazione 2,3 GHZ WEBCAM 8 GB RAM 256 GB SSD WINDOWS 10 PRO 64 bit (Ricondizionato)	215.0	False	https://www.amazon.it/dp/B084GYCRLB	4.4
17	CloudValley Webcam Cover, 0.6mm Ultra-Sottile Metallo Copri Webcam Copertura per MacBook Pro* Air, iPad, Laptop, iMac, PC, Computer, Phone Accessori, 2 Pezzi Nero	7.99	False	https://www.amazon.it/dp/B079MCPJGH	4.5
18	Caricabatterie Mac Book Air, 45W T-Tip Caricatore Mac Book Air Adattatore per Computer Portatile Compatibile con Mac Book Air 11'' 13'' metà (2012~2017), Modello A1436, A1466, A1465	22.99	False	https://www.amazon.it/dp/B0D577JHMD	4.2
